tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,verified_reason,gender,rank,repost_count,follower_count,follow_count,like_count,comment_count
3875741852390089,#塘沽爆炸# 这两张照片应该是昨天看到的蛮有意思的照片，一旁是实地采访的外国媒体，另一边是附近闻声赶来的群众，拍完了9号线终点站的狼藉再拍拜访的媒体。 ​,Fri Aug 14 14:05:27 +0800 2015,3875741852390089,穿Armani的乞丐,6117,220,6117,,m,37,0,3933,549,1,1
3877646519361625,"网友亲历天津爆炸 急念观世音圣号奇迹生还,核心提示：8.12天津大爆炸震惊全国，有网友当时正处在爆炸波及范围之内，伴随着冲天烈焰的巨响，强大的...详情见网页链接 ​",Wed Aug 19 20:13:55 +0800 2015,3877646519361625,律师英才网,46562,-1,46562,,m,31,0,7741,2713,1,0
3875367053817140,#塘沽请平安##塘沽爆炸# 之前惠州连着两次火灾，想想都后怕…… ​,Thu Aug 13 13:16:09 +0800 2015,3875367053817140,現胖小公舉-3-,3356,-1,3356,,f,28,0,265,359,1,0
3875179190651283,#塘沽爆炸# 据悉，塘沽开发区于8月12号夜晚11点半左右发生剧烈爆炸，蘑菇云都升起来了，数十里外仍有震感， 网友称，爆炸导致附近楼体晃动甚至裂缝， 目前爆炸原因不明，有大量伤员送往医院接受治疗，伤亡人数不详。愿爆炸地点附近居民一切安好！ 天津·小海地 ​,Thu Aug 13 00:49:39 +0800 2015,3875179190651283,朴白虎,363,0,363,  天津市地下铁道运营有限公司刘运博,m,20,0,202,412,4,0
3875629127136017,【#海豚剧精彩#今天剧加油】上午万家剧场《爱情公寓3》下午真情剧场@胡歌 @杨幂 @刘诗诗 等联袂主演《仙剑奇侠传3》第9-12集（姜国千年兄妹情，今朝龙葵身世被公开!）晚上第一剧场继续播放由@唐嫣  @RAIN-JIHOON @罗晋 主演的高颜偶像剧#安徽卫视克拉恋人#第二部14、15集。#塘沽爆炸#为生命祈福! ​,Fri Aug 14 06:37:32 +0800 2015,3875629127136017,安徽卫视粉丝网微博,20482,3,20482,安徽卫视粉丝网官方微博,m,39,7,173693,317,71,18
3879874932187363,公司同事们进入8.12爆炸核心区清理散落的集装箱。请注意安全，你们辛苦了！ ​,Tue Aug 25 23:48:51 +0800 2015,3879874932187363,一難得有情一,1444,-1,1444,,m,30,0,348,370,0,0
3884146768278052,8.12爆炸颠覆医疗费报销 ​,Sun Sep 06 18:43:36 +0800 2015,3884146768278052,小小绿芹菜,1352,-1,1352,,f,26,0,37,64,0,0
3875311944941202,活下去 😭 🙏 #塘沽爆炸# ​,Thu Aug 13 09:37:09 +0800 2015,3875311944941202,野生鄭曦萌,509,-1,509,,m,19,0,65,196,1,1
3875676056337734,#塘沽爆炸#提醒大家：不传谣，不造谣，不添堵，不添乱。一切消息以官方为准不造谣，未被证实信息做到不传谣；塘沽的伙伴们尽量不出门或尽快撤离灾发附近至临时安置点，更不要擅自前往志愿，做到不添堵、不添乱。做好我们力所能及的事，一起祈祷伤亡停止 ​,Fri Aug 14 09:44:01 +0800 2015,3875676056337734,湖北尊而光律师事务所,4094,2,4094,湖北尊而光律师事务所官方微博,m,30,4,5569,727,0,3
3921034606239046,一直在网上搜“公安消防天津开发支队特勤中队”的一些相关视频以缅怀8.12牺牲的英烈，无果，很失落。这次8.12爆炸事故中，位于我们开发区十一大街和黄海路交口的这支英雄的消防部队共牺牲了七名消防官兵，他们是江泽国、林海明、尹艳荣、高洪森、李远航、宁子默、陈博文，怀念！致敬！永恒！ ​,Thu Dec 17 13:42:41 +0800 2015,3921034606239046,小Zyy同学,58601,-1,58601,,f,29,1,7174,3105,1,0
