tweetid,status,created_at,userid,nickname,status_count,verified,verified_type,follower_count,gender,rank,reposts_count,like_count,follower_count,follow_count,comments_count
4089576186756119,【受辱母亲陈情:儿子是自卫而为 我们误入高利贷陷阱害了自己也伤了别人】26日，记者来到#刺死辱母者案#现场——山东源大工贸有限公司，于欢姑妈于秀荣提供的一材料显示，苏银霞详细描述了当日情况，还表示：“我们误入高利贷陷阱，害了自己，也伤了别人。我的儿子在遭受长时间的凌辱折磨，又亲眼目睹母亲受辱受难的情况下激情自卫，造成恶果，本案的发生是由于对方的挑衅和侮辱行为而造成，我儿子是出于自卫而为，恳请领导予以关注。”记者 梁波,Sun Mar 26 15:46:46 +0800 2017,4089576186756119,华西都市报,93197, true,3,11450843,f,44,411,1195,11450843,6374,2032
4089549644624441,【挖就深挖：冠县检察院起诉科科长是不是杜志浩哥哥？】#刺死辱母者被判无期#杜志浩是赵荣荣的马仔，赵荣荣是吴学占的老婆，吴学占是冠县最大的黑社会老大。吴学占去年被以涉黑控制，当地多家企业和于欢母亲苏银霞企业遭遇一样，但合格案子的公诉和判决出现这么大争议，似乎还有其它说不明白的原因。一：吴学占、赵荣荣、杜志浩黑社会团伙，是经过公安局办案认定的涉黑团伙。在当地更是盘根错节树大根深，按照实名举报当地公检法司行政事业单位不乏参与非法集资、放贷转贷者，但当地司法部门判决此案前吴占学（2016年8月11日）已经被公安机关控制，也即苏银霞的被催债以及发生刑事，可以肯定是在黑社会团伙所为。姑且不论判决结果如何，但判决依据没有包含这一重大要件，有涉嫌包庇、故意规避的嫌疑。媒体和法律专家们可就此给出更加具体的质证和意见，从常识的角度，加上吴占学黑社会团伙的长期犯罪行为没被有效司法处置，不得不令人怀疑各种利益关联方在刻意保护，从而成为苏银霞悲剧的帮凶。二：据线索死者杜志浩的哥哥在冠县检察院做起诉科科长，这个需要冠县检察院出面给公众澄清。倘若是，这个案子判成这样就自然而然了；倘若不是，还得给大家一个清晰准确直接的回答。既然最高检介入，新华社入驻，各媒体出动监督，这个线索乃至更多事实当地想糊弄过去的可能性不大了。线索给大家了，剩下的看你们的了。不撕开吴学占黑社会团伙的保护伞，不拆穿这次判决的关系网，要帮到小伙子于欢还是有些难度的！我提供的只是冰山一角，坐等各位抽筋剥皮。@澎湃之音 @新华社 @央视新闻 @人民日报 @南方周末 @财新网,Sun Mar 26 14:01:18 +0800 2017,4089549644624441,网眼八分斋,2549, true,0,167237,m,41,968,1463,167237,638,477
4093577610703380,真是可悲，孩子母亲的哭声是何等的让人心酸和无力，借用网络上的一句话，昨天是儿子救不了母亲（于欢刺杀辱母案），今天是母亲救不了儿子（泸县校园霸凌案），明天就是自身难保（人人自危）中国的政治为什么越走越往回#泸州太伏中学事件##泸州太伏中学事件##泸州太伏中学事件# 网页链接 . ​,Thu Apr 06 16:46:59 +0800 2017,4093577610703380,不是蠢,77, false,-1,14,f,9,4,19,14,79,10
4089846492868111,人民日报批“济南公安怼网友”人民日报批“济南公安怼网友”：别把官微当菜园子；在“辱母杀人案”中，一个重要因素是警察不作为，最终导致失控。然而，他们却发微博“毛驴怼大巴”、“受伤的驴总是你”来进行侮辱性挑衅。济南公安说发微博的不是警察，那谁能掌握警方官微进行发布呢？又是临时工？ ​,Mon Mar 27 09:40:52 +0800 2017,4089846492868111,马长山,3498, true,0,5767,m,28,1,8,5767,363,3
4092804755880767,南京“侠女护士”为何引发关注。我认为她钻了职能部门不作为的空子，引起关注，算她“走运“吧。在比说：现在的老大爷老大妈都用了手机，政府、职能部门一再强调谨防诈骗，试问，老大爷老大妈如何防骗，老人的智商与骗子也不在一个量级上，要他们防骗不是赶鸭子上树嘛。辱母案中的于欢，典型的不作为， ​,Tue Apr 04 13:35:57 +0800 2017,4092804755880767,自由说客555,1782, false,-1,779,m,27,0,0,779,1456,0
4089657123725535,#曝料郯城# @临沂发布 @郯城发布 #临沂身边事#在郯城县政府的申请公开栏申请资料公开，【与本人利益相关，但是在处理时未有任何人和组织与本人联系】郯城县政府以通过“相关程序答复完毕”为由不予受理合适吗？【本人不知情，是如何答复完毕的？】 ​​​@山东发布  #刺死辱母者被判无期# 难道政府就这样一直任性妄为吗？,Sun Mar 26 21:08:22 +0800 2017,4089657123725535,郯城资讯,1848, true,0,1330,m,24,21,10,1330,429,24
4089674195000758,#刺死辱母者##刺死辱母者被判无期# 【于欢案被广泛质疑判罚不公，希望并相信最高检和山东高院将还回公正】公众的质疑是有依据的，舆论监督的正面意义值得重视和珍惜。个别“舆论混混”趁机搞上纲上线，黑整个国家，但他们决非舆论的主流。公正处理于欢案不应受他们的干扰。  秒拍视频 ​,Sun Mar 26 22:16:12 +0800 2017,4089674195000758,高妙桂,8659, true,0,111532,m,36,11,31,111532,1706,9
4089949458984256,【“辱母杀人案”里的高利贷不是犯罪？没搞错吧】许多朋友因此也对高利贷深恶痛绝，提出要严惩放贷者，甚至有人提出要将高利贷“入刑”。在这些言论中，方圆菌仿佛听到了对高利贷的一些误解。作为一个纠错达人，方圆菌必须要说两句。#我爱问方圆# #辱母杀人案#  @检察日报 ​,Mon Mar 27 16:30:01 +0800 2017,4089949458984256,方圆杂志,4005, true,3,106404,m,34,5,0,106404,714,2
4089708801821026,【他掏出手枪从容把强奸儿子的人崩掉...这桩证据确凿的辱子杀人案，最后却有出乎意料的判决...】面对自己曾经遭受折磨的孩子，他无法保持理性...幸运的是..法律与人性最终站在了一起...#刺死辱母者被判无期# 他掏出手枪从容把强奸儿子的人崩掉...这桩证据确凿的辱子杀人案，最后却有出乎意料的判决... ​,Mon Mar 27 00:33:44 +0800 2017,4089708801821026,祥子,24304, true,0,32304,m,44,33,145,32304,881,11
4089526303118250,儿子刺死辱母者被判无期，被刷的满屏都是。这里面纠结着三个问题：高利贷的问题，警察出门干什么，法院是否判的过重，这是三个独立的问题，但又偏偏三个点连在一起成了该案件的核心部分。当然这三个问题也会牵扯出很多问题，这是舆论高热的原因。平心而论，于欢在众目睽睽下看到这番情景，血性男儿的情绪根本无法控制理智，是在几乎崩溃的情况举刀杀人，甚至可以本着同归于尽的想法。母亲是一个带着极具温暖的名词，不容任何人侵犯。我反对舆论干预司法，但我期待司法更加公正、公平。好在山东高院已经着手全面审查案件。,Sun Mar 26 12:28:33 +0800 2017,4089526303118250,菉葭苍苍,21723, true,0,178642,f,41,27,30,178642,1074,122
